igekötő	reduplikáció	fele	deverbális_tagadás	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
seggbe	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.15872777580111314	-0.36348132066337246	-0.31867477005311545	1.0980983055338482	-0.23197340190811358
seggre	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-1.0536158964525042	-0.4843706013552963	-0.5497664804233818	1.298782059572131	-0.23197340190811358
semmibe	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	2.391568252374608	-0.7312489567669076	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
síkra	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	0.21740700632358773	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
sorba	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.09718719567259824	-0.42333003446528283	-0.4319483931472286	0.36400919889711386	-0.23197340190811358
sorban	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.4249073639209431	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
sorra	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.3863500880100897	-0.4843706013552963	-0.49027809414718754	0.28488398522833214	-0.23197340190811358
szájon	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.6091292800834608	-0.4843706013552963	-0.49027809414718754	0.8422241161090503	-0.23197340190811358
számba	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	0.03390168192046031	-0.4843706013552963	-0.5497664804233818	-0.5978600137483265	-0.23197340190811358
számon	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	0.07862647156092302	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
